policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211000299,GBR,Annual,Biomass Task Force Report,Biomass Task Force Report United Kingdom (2005),Country,,United Kingdom,,,"Fiscal or financial incentives, Advice or aid in implementation, Information provision, Institutional creation, Strategic planning, Research programme","Electricity and heat, Renewables",,Renewables,,In force,2005,,,Unknown,Mitigation,https://www.iea.org/policies/4440-biomass-task-force-report,,,,,,
230206140,GBR,Annual,Boiler Upgrade Scheme,Boiler Upgrade Scheme United Kingdom (2022),Country,,United Kingdom,,,"Fiscal or financial incentives, Grants and subsidies",Electricity and heat,This is a subsidy scheme aimed at incentivizing the uptake of heat pumps. It offers grants of up to 5000 pounds for homeowners choosing to replace fossil fuel boilers with efficient low-carbon heat pumps.,"Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",,In force,2022,,,,Mitigation,https://www.gov.uk/government/news/ditching-costly-gas-and-oil-is-cheaper-thanks-to-heat-pump-scheme,30/01/2023,,,,,
230206145,GBR,Annual,British Energy Security Strategy,British Energy Security Strategy United Kingdom (2022),Country,,United Kingdom,,,"Policy support, Strategic planning","Electricity and heat, Industry, Buildings, Transport","This strategy sets out the UK's plan to increase energy independence, which includes increasing energy efficiency, reducing demand, increasing renewable power generation and increasing domestic production of oil and gas.","Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",,In force,2022,,,,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1069969/british-energy-security-strategy-web-accessible.pdf,30/01/2023,,,,,
211005270,GBR,Annual,Budget 2020,Budget 2020 United Kingdom (2020),Country,,United Kingdom,,,"Economic instruments, Direct investment, Infrastructure investments, RD&D funding, Policy support, Strategic planning",General,"The UK government will support the CCS Infrastructure Fund to establish CCS in at least two UK sites, one by the mid-2020s, a second by 2030. It aims to establish at least one CO2 capture equipped gas power plant by 2030 with the help of consumer subsidies.
Also, the Budget confirms funding for the Heat Networks Investment Project  and provides £270 million of new funding to enable new and existing heat networks to adopt low carbon heat sources in the building sector. The aim is that the heating of homes reaches net-zero by 2050 replacing natural gas and other fossil fuels with low carbon alternatives, such as biomethane.
Funding in the transport sector to reduce vehicle pollution through purchases and investments in zero emission light vehicles, and in the natural environmental sector to increase environmental restoration are also outlined in the budget plan.","Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",,In force,2020,,,Unknown,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/871799/Budget_2020_Web_Accessible_Complete.pdf,01/05/2021,,,,,
211005271,GBR,Annual,Budget 2021,Budget 2021 United Kingdom (2021),Country,,United Kingdom,,,"Economic instruments, Direct investment, Fiscal or financial incentives, CO2 taxes, Energy and other taxes, Policy support, Strategic planning",General,"The Budget (2021) brings a policy framework outlining carbon pricing, energy taxes and transport taxes as a way forward towards achievement of net zero targets.","Energy efficiency, Energy service demand reduction and resource efficiency, Renewables",,In force,2021,,,Unknown,Mitigation,"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/966868/BUDGET_2021_-_web.pdf
https://climate-laws.org/geographies/united-kingdom/policies/budget-2021",01/05/2021,,,,,
211000336,GBR,Annual,Building Regulations (England and Wales),Building Regulations (England and Wales) United Kingdom (2010),Subnational region,,United Kingdom,England and Wales,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2010,,,Unknown,Mitigation,https://www.iea.org/policies/2035-building-regulations-england-and-wales-2010?country=United%20Kingdom&page=2&qs=united,,,,,,
211000337,GBR,Annual,Building Regulations (Northern Ireland),Building Regulations (Northern Ireland) United Kingdom (2010),Subnational region,,United Kingdom,Northern Ireland,,Building codes and standards,"Buildings, Construction",,Energy efficiency,,In force,2010,,,Unknown,Mitigation,https://www.iea.org/policies/2037-building-regulations-northern-ireland-2010?country=United%20Kingdom&page=2&qs=united,,,,,,
220205818,GBR,Annual,Bus Back Better: national bus strategy,Bus Back Better: national bus strategy United Kingdom (2021),Country,,United Kingdom,,,"Policy support, Strategic planning",Transport,"This strategy aims at improving public bus transportation systems, making more reliable, sustainable, cheaper and more frequent across the country, with the objective of decreasing private vehicle use, congestion and air pollution.
The strategy further aims for the delivery of 4,000 new electric or hydrogen buses, and end sales of new diesel buses.",Energy service demand reduction and resource efficiency,,In force,2021,,,High,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/980227/DfT-Bus-Back-Better-national-bus-strategy-for-England.pdf,08/04/2022,,,,,
211000390,GBR,Annual,Carbon Abatement Technology Strategy,Carbon Abatement Technology Strategy United Kingdom (2005),Country,,United Kingdom,,,"Demonstration project, Research & Development and Deployment (RD&D), Policy support, Infrastructure investments, RD&D funding","Electricity and heat, CCS",,Other low-carbon technologies and fuel switch,,Ended,2005,,,Unknown,Mitigation,https://webarchive.nationalarchives.gov.uk/ukgwa/20060213234659/http://www.dti.gov.uk/energy/environment/index.shtml,,,,,,
240306407,GBR,Annual,Carbon Budget Delivery Plan,Carbon Budget Delivery Plan United Kingdom (2023),Country,,United Kingdom,,,"Policy support, Strategic planning",General,"The Carbon Budget Delivery Plan fulfills statutory obligations under the Climate Change Act 2008, detailing proposals and policies to meet Carbon Budgets 4-6. It addresses associated risks and timescales, crucial for transitioning to a low-carbon economy.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2023,,2037,,Mitigation,https://www.gov.uk/government/publications/carbon-budget-delivery-plan,23/02/2024,,,,,
211000391,GBR,Annual,Carbon Budget Order,Carbon Budget Order United Kingdom (2016),Country,,United Kingdom,,,"Strategic planning, Formal & legally binding energy efficiency target",General,"The Carbon Budget Order 2016 sets the carbon budget for the 2028-2032 budgetary period as 1,725,000,000 tonnes of carbon dioxide equivalent (including emissions from international shipping). The budget limits annual emissions to an average 57 per cent below 1990 levels.
Carbon budgets set a cap on the maximum level of the net UK carbon account for each five-year budgetary period. The net UK carbon account is defined in section 27 of the Climate Change Act 2008.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,In force,2016,,2032,Unknown,Mitigation,https://www.legislation.gov.uk/uksi/2016/785/made,,,,,,
211000401,GBR,Annual,Carbon Emissions Reduction Target (Energy Efficiency Commitment 3),Carbon Emissions Reduction Target (Energy Efficiency Commitment 3) United Kingdom (2008),Country,,United Kingdom,,,"Other mandatory requirements, Obligation schemes","Electricity and heat, Buildings",,Energy efficiency,,Ended,2008,,2012,Unknown,Mitigation,https://www.ofgem.gov.uk/environmental-programmes/energy-companies-obligation-eco/previous-energy-efficiency-schemes,,,,,,
211000406,GBR,Annual,Carbon Plan,Carbon Plan United Kingdom (2011),Country,,United Kingdom,,,"Climate strategy, Political & non-binding climate strategy, Strategic planning",General,Executive,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2011,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/carbon-plan/,,,,,,
211000409,GBR,Annual,Carbon Price Floor,Carbon Price Floor United Kingdom (2013),Country,,United Kingdom,,,CO2 taxes,Electricity and heat,"The Carbon Price Floor (CPF) is a UK Government policy implemented to support the EU Emissions Trading System (EU ETS). The CPF taxes fossil fuels used to generate electricity via Carbon Price Support rates set under the Climate Change Levy. The price floor consists of two components which are paid for by energy generators in two different ways: (i) The EU ETS allowance price; and (ii) the Carbon Support Price (CPS), which tops up the EU ETS allowance prices, as projected by the Government, to the carbon floor price target.
At Budget 2014 the Government announced that the CPS component of the floor price would be capped at a maximum of £18/tCO2 from 2016 to 2020 to limit the competitive disadvantage faced by business and reduce energy bills for consumers. This price freeze was extended to 2021 in Budget 2016.","Energy efficiency, Other low-carbon technologies and fuel switch",4,In force,2013,,,High,Mitigation,https://researchbriefings.files.parliament.uk/documents/SN05927/SN05927.pdf,,,,,,
211000410,GBR,Annual,Carbon Reduction Commitment Energy efficiency Scheme,Carbon Reduction Commitment Energy efficiency Scheme United Kingdom (2010),Country,,United Kingdom,,,"GHG emissions allowances, Monitoring, Other mandatory requirements","Industry, Industrial energy related","Legislative IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2010,,,High,"Mitigation, Energy security",http://www.lse.ac.uk/GranthamInstitute/law/carbon-reduction-commitment-energy-efficiency-scheme/,,,,,,
230206143,GBR,Annual,CCUS Investor Roadmap,CCUS Investor Roadmap United Kingdom (2022),Country,,United Kingdom,,,"Policy support, Strategic planning",Industry,This strategy formulates the UK's plans to develop its CCU industry and attract investors. It aims to capture 20-30 MtCO2e per year by 2030.,Energy service demand reduction and resource efficiency,,In force,2022,,,,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1118383/ccus-roadmap.pdf,30/01/2023,,,,,
240306405,GBR,Annual,CCUS Net Zero Investment Roadmap: Capturing carbon and a global opportunity 2023,CCUS Net Zero Investment Roadmap: Capturing carbon and a global opportunity 2023 United Kingdom (2023),Country,,United Kingdom,,,"Economic instruments, Direct investment, Infrastructure investments, Policy support, Strategic planning",Industry,"The CCUS Net Zero Investment Roadmap outlines the UK's strategy to develop carbon capture, usage, and storage capacity. It aims to establish two CCUS clusters by the mid-2020s and an additional two by 2030, capturing 20-30 MtCO2 per year, thus contributing significantly to decarbonization efforts.","Energy service demand reduction and resource efficiency, Non-energy use",,In force,2023,,2030,,Mitigation,https://www.gov.uk/government/publications/carbon-capture-usage-and-storage-net-zero-investment-roadmap/ccus-net-zero-investment-roadmap-capturing-carbon-and-a-global-opportunity,23/02/2024,,,,,
211000425,GBR,Annual,Central Government Estate Targets,Central Government Estate Targets United Kingdom (2010),Country,,United Kingdom,,,"Target, Voluntary approaches",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2010,,,Unknown,Mitigation,http://www.decc.gov.uk/en/content/cms/tackling/saving_energy/what_doing/10_percent/10_percent.aspx,,,,,,
211000430,GBR,Annual,Charging Infrastructure Support,Charging Infrastructure Support United Kingdom (2015),Country,,United Kingdom,,,Infrastructure investments,"Transport, Low-emissions mobility","The Government has pledged £32 million of infrastructure support to create a new network of electric vehicle chargepoints. Locations for further chargepoints include homes, hospitals, train stations and A-roads. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2015,,,Unknown,Mitigation,"https://www.iea.org/policies/6620-charging-infrastructure-supportgbr?country=United%20Kingdom&amp;qs=united
https://www.motortradenews.com/automotive-news/government-pledges-32m-for-ev-charging-infrastructure/",,,,,,
211000488,GBR,Annual,Clear Skies - Household and Small Community Renewable Energy Fund,Clear Skies - Household and Small Community Renewable Energy Fund United Kingdom (2003),Country,,United Kingdom,,,"Grants and subsidies, Information provision","Electricity and heat, Renewables, Buildings, Heating and cooling, Hot water and cooking",,Renewables,,Ended,2003,,2006,Unknown,Mitigation,https://www.renewableenergyworld.com/2003/07/08/clear-skies-grants-released-in-the-uk-9089/,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
211000492,GBR,Annual,Climate Change Act,Climate Change Act United Kingdom (2008),Country,,United Kingdom,,,"Coordinating body for climate strategy, Formal & legally binding climate strategy, Policy support, Other mandatory requirements, Target, GHG reduction target, Formal & legally binding GHG reduction target",General,"The Act establishes a legally binding target of at least an 80% cut in GHG emissions by 2050, against a 1990 baseline. It also creates 5-yearly “carbon budgets” as a pathway to meet the long-term target. The fourth carbon budget, for 2023–2027 approved by parliament in 2011 and reviewed in 2014, puts into law a target to reduce emissions by 50% from 1990 levels by 2025 (the midpoint of the budget period).
The Committee on Climate Change (CCC) – a new independent, expert body to advise the government on the level of carbon budgets and on progress in meeting these budgets.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2008,,2027,Unknown,Mitigation,"https://www.legislation.gov.uk/ukpga/2008/27/contents
https://www.legislation.gov.uk/ukdsi/2019/9780111187654",,,GHG emissions reduction (%),80,1990,2050
211000491,GBR,Annual,Climate Change Act,Climate Change Act United Kingdom (2019),Subnational region,,United Kingdom,Scotland,,"Strategic planning, GHG reduction target",General,"The Climate Change (Emissions Reduction Targets) (Scotland) Act 2019, which amends the Climate Change (Scotland) Act 2009, sets targets to reduce Scotland's emissions of all greenhouse gases to net-zero by 2045 at the latest, with interim targets for reductions of at least 56% by 2020, 75% by 2030, 90% by 2040.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2019,,2040,High,Mitigation,"https://www.gov.scot/policies/climate-change/reducing-emissions/
http://www.legislation.gov.uk/asp/2009/12/contents
http://www.legislation.gov.uk/asp/2019/15/contents/enacted",,"Expressed as percentage reductions from the 1990/1995 baseline, {{{Comments}}}","GHG emissions reduction (%), GHG emissions reduction (%), GHG emissions reduction (%), GHG emissions reduction (%)","100, 90, 75, 56","1990, 1990, 1990, 1990","2045, 2, 40, 2"
211000497,GBR,Annual,Climate Change Agreements,Climate Change Agreements United Kingdom (2001),Country,,United Kingdom,,,"Tax relief, Voluntary approaches, Negotiated agreements (public-private sector)",Industry,Climate Change Agreements (CCAs) are voluntary agreements allowing industry users to receive a discount from the Climate Change Levy of up to 90% (100% only for metallurgical and mining) if they meet energy efficient or carbons savings targets. The 2020 amendment extended the CCA up to 2025.,"Energy efficiency, Energy service demand reduction and resource efficiency",,In force,2001,,2025,Unknown,Mitigation,https://www.gov.uk/guidance/climate-change-agreements--2,,,,,,
211000513,GBR,Annual,Climate Change and Sustainable Energy Act,Climate Change and Sustainable Energy Act United Kingdom (2006),Country,,United Kingdom,,,"Green certificates, Other mandatory requirements","Buildings, Electricity and heat",Legislative,"Energy efficiency, Renewables",,In force,2006,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/climate-change-and-sustainable-energy-act/,,,,,,
211000500,GBR,Annual,Climate Change Communications Initiative,Climate Change Communications Initiative United Kingdom (2005),Country,,United Kingdom,,,Information provision,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",,Ended,2005,,2008,Unknown,Mitigation,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/272269/6764.pdf,,,,,,
211000502,GBR,Annual,Climate Change Levy,Climate Change Levy United Kingdom (2001),Country,,United Kingdom,,,"Energy and other taxes, Tax relief","Electricity and heat, Gas, Oil, Renewables",Legislative,"Energy efficiency, Renewables",,In force,2001,,,High,Mitigation,"https://www.legislation.gov.uk/uksi/2001/838/contents/made
https://www.legislation.gov.uk/uksi/2018/118/contents/made",,,,,,
211000506,GBR,Annual,Climate Change Programme,Climate Change Programme United Kingdom (2006),Country,,United Kingdom,,,"Advice or aid in implementation, Information provision, Strategic planning, Building codes and standards","Buildings, General, Industry, Construction",Executive,Energy efficiency,,In force,2006,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/climate-change-programme-2006/,,,,,,
211000507,GBR,Annual,Climate Change Projects Office,Climate Change Projects Office United Kingdom (2001),Country,,United Kingdom,,,"GHG emission reduction crediting and offsetting mechanism, Information provision, Policy support",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",,In force,2001,,,Unknown,Mitigation,,,,,,,
211000522,GBR,Annual,Climate Resilient Infrastructure: Preparing for a Changing Climate,Climate Resilient Infrastructure: Preparing for a Changing Climate United Kingdom (2011),Country,,United Kingdom,,,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",,In force,2011,,,Unknown,Mitigation,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/69269/climate-resilient-infrastructure-full.pdf,,,,,,
220205812,GBR,Annual,CO2 emission performance standards for new passenger cars and light commercial vehicles,CO2 emission performance standards for new passenger cars and light commercial vehicles United Kingdom (2019),Country,,United Kingdom,,,"Regulatory Instruments, Codes and standards, Vehicle fuel-economy and emissions standards","Transport, Light-duty vehicles","This policy seeks to align vehicle emissions standards from the UK with those of the EU. It stipulates a limit of 95g CO2/km for new passenger vehicles and 147g CO2/km for vans from 2020, as well as a 15% emissions reduction below a 2021 baseline for both cars and vans, and from 2030, this will increase to a 37.5% reduction below the 2021 baseline.",Energy service demand reduction and resource efficiency,,In force,2019,,,High,Mitigation,https://www.gov.uk/government/consultations/regulating-co2-emission-standards-for-new-cars-and-vans-after-transition/co2-emission-performance-standards-for-new-passenger-cars-and-light-commercial-vehicles#mainchanges,01/01/2022,,,,,
211000360,GBR,Annual,CO2 Emission-Based Vehicle Tax Fates,CO2 Emission-Based Vehicle Tax Fates United Kingdom (2017),Country,,United Kingdom,,,Energy and other taxes,"Transport, Light-duty vehicles","The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay. Vehicle tax for the first year is based on CO2 emissions. After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are: £140 a year for petrol or diesel vehicles; £130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG); £0 a year for vehicles with zero CO2 emissions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2017,,,Unknown,Mitigation,https://www.iea.org/policies/6703-co2-emission-based-vehicle-tax-rates-from-1-april-2017?country=United%20Kingdom&qs=united,,,,,,
211000534,GBR,Annual,Code for Sustainable Homes,Code for Sustainable Homes United Kingdom (2006),Country,,United Kingdom,,,"Performance label, Comparison label, Endorsement label, Other mandatory requirements",Buildings,Executive,Energy efficiency,,In force,2006,,,Unknown,"Mitigation, Energy security, Energy access",https://www.gov.uk/government/publications/2010-to-2015-government-policy-energy-efficiency-in-buildings/2010-to-2015-government-policy-energy-efficiency-in-buildings#appendix-7-code-for-sustainable-homes,,,,,,
211000545,GBR,Annual,Combined Heat and Power Strategy to 2010,Combined Heat and Power Strategy to 2010 United Kingdom (2004),Country,,United Kingdom,,,"Negotiated agreements (public-private sector), Tax relief",Electricity and heat,,Energy efficiency,,Ended,2004,,,Unknown,Mitigation,https://aleo.org.uk/downloads/root/regions/uk/documents/chp_strategy.pdf,,,,,,
211000555,GBR,Annual,Community Energy Programme,Community Energy Programme United Kingdom (2001),Country,,United Kingdom,,,"Information provision, Information and education, Grants and subsidies","Buildings, Heating and cooling",,"Energy efficiency, Other low-carbon technologies and fuel switch",,Ended,2001,,,Unknown,Mitigation,https://www.iea.org/policies/1845-community-energy-programme?country=United%20Kingdom&page=4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
211000562,GBR,Annual,Company Car Tax Reform,Company Car Tax Reform United Kingdom (2002),Country,,United Kingdom,,,Energy and other taxes,"Transport, Heavy-duty vehicles, Light-duty vehicles",Legislative,Energy efficiency,,In force,2002,,,Unknown,Mitigation,http://www.lse.ac.uk/GranthamInstitute/law/company-car-tax-reform/,,,,,,
211000564,GBR,Annual,Company Tax Benefits for Electric Vehicles,Company Tax Benefits for Electric Vehicles United Kingdom (2017),Country,,United Kingdom,,,Tax relief,"Transport, Low-emissions mobility","The Government announced that company car drivers choosing a pure electric vehicle will pay no benefit-in-kind (BIK) tax in 2020/21. In its response to its review of WLTP and vehicle taxes, HM Treasury has binned the previously published BIK rates for 2020/21. The Government added that existing vehicle excise duty (VED) rates – also not part of this review – will stay the same from April 6, 2020, despite the introduction of WLTP values for tax purposes from this date. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2017,,,Unknown,Mitigation,https://www.iea.org/policies/6626-company-tax-benefits-for-electric-vehicles?country=United%20Kingdom&qs=united,,,,,,
211000563,GBR,Annual,Company Tax Benefits GBR - Transport Infrastructure,Company Tax Benefits GBR - Transport Infrastructure United Kingdom (2017),Country,,United Kingdom,,,Tax relief,"Transport, Low-emissions mobility","Tax benefits for businesses installing charging infrastructure through a 100% first year allowance (FYA) for expenditure incurred on electric vehicle chargepoint equipment. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,,In force,2017,,,Unknown,Mitigation,https://www.iea.org/policies/6627-company-tax-benefits-transport-infrastructure?country=United%20Kingdom&technology=Transport%20technologies,,,,,,
211000583,GBR,Annual,Contract for Difference (CfD),Contract for Difference (CfD) United Kingdom (2014),Country,,United Kingdom,,,Feed-in tariffs or premiums,"Electricity and heat, Renewables",,Renewables,,In force,2014,,,Unknown,Mitigation,https://www.gov.uk/government/collections/electricity-market-reform-contracts-for-difference,,,,,,
211000613,GBR,Annual,Decent Homes,Decent Homes United Kingdom (2001),Country,,United Kingdom,,,"Funds to sub-national governments, Codes and standards, Other mandatory requirements","Buildings, Heating and cooling",,Energy efficiency,,In force,2001,,,Unknown,Mitigation,https://www.gov.uk/government/policies/improving-the-rented-housing-sector--2/supporting-pages/decent-homes-refurbishing-social-housing,,,,,,
