,policy_name,policy_title,jurisdiction,policy_instrument,sector,policy_description,policy_type,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,last_update,Scope,Ambition,Implementation,Innovation,Total Score
10,Automotive Roadmap,Automotive Roadmap United Kingdom (2022),Country,"Policy support, Strategic planning","Transport, Low-emissions mobility",This strategy sets out key priorities and actions to support the UK's goal of decarbonizing transport and banning ICE vehicle sales by 2035,Other low-carbon technologies and fuel switch,In force,2022,2022,2035,,Mitigation,30/01/2023,2,3,2,2,2.3
11,Bio-energy Capital Grants Scheme,Bio-energy Capital Grants Scheme United Kingdom (2002),Subnational region,Grants and subsidies,"Electricity and heat, Renewables",Executive,"Energy efficiency, Renewables",In force,2002,,,Unknown,Mitigation,,2.5,5,5,5,4.5
12,Bio-energy Infrastructure Scheme,Bio-energy Infrastructure Scheme United Kingdom (2004),Country,"Fiscal or financial incentives, Infrastructure investments","Electricity and heat, Renewables",,Renewables,In force,2004,,,Unknown,Mitigation,,4,5,5,4,4.5
13,Biofuels Duty Incentive,Biofuels Duty Incentive United Kingdom (2002),Country,Tax relief,Transport,,Renewables,In force,2002,,,Unknown,Mitigation,,2,5,4,1,3
14,Biomass Task Force Report,Biomass Task Force Report United Kingdom (2005),Country,"Fiscal or financial incentives, Advice or aid in implementation, Information provision, Institutional creation, Strategic planning, Research programme","Electricity and heat, Renewables",,Renewables,In force,2005,,,Unknown,Mitigation,,3,2,2,2,2.2
15,Boiler Upgrade Scheme,Boiler Upgrade Scheme United Kingdom (2022),Country,"Fiscal or financial incentives, Grants and subsidies",Electricity and heat,This is a subsidy scheme aimed at incentivizing the uptake of heat pumps. It offers grants of up to 5000 pounds for homeowners choosing to replace fossil fuel boilers with efficient low-carbon heat pumps.,"Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2022,,,,Mitigation,30/01/2023,3,5,3,4,3.9
16,British Energy Security Strategy,British Energy Security Strategy United Kingdom (2022),Country,"Policy support, Strategic planning","Electricity and heat, Industry, Buildings, Transport","This strategy sets out the UK's plan to increase energy independence, which includes increasing energy efficiency, reducing demand, increasing renewable power generation and increasing domestic production of oil and gas.","Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2022,,,,Mitigation,30/01/2023,3,2,3,3,2.7
17,Budget 2020,Budget 2020 United Kingdom (2020),Country,"Economic instruments, Direct investment, Infrastructure investments, RD&D funding, Policy support, Strategic planning",General,"The UK government will support the CCS Infrastructure Fund to establish CCS in at least two UK sites, one by the mid-2020s, a second by 2030. It aims to establish at least one CO2 capture equipped gas power plant by 2030 with the help of consumer subsidies.
Also, the Budget confirms funding for the Heat Networks Investment Project  and provides £270 million of new funding to enable new and existing heat networks to adopt low carbon heat sources in the building sector. The aim is that the heating of homes reaches net-zero by 2050 replacing natural gas and other fossil fuels with low carbon alternatives, such as biomethane.
Funding in the transport sector to reduce vehicle pollution through purchases and investments in zero emission light vehicles, and in the natural environmental sector to increase environmental restoration are also outlined in the budget plan.","Energy efficiency, Energy service demand reduction and resource efficiency, Other low-carbon technologies and fuel switch, Renewables",In force,2020,,,Unknown,Mitigation,01/05/2021,2.5,3,4,5,3.7
18,Budget 2021,Budget 2021 United Kingdom (2021),Country,"Economic instruments, Direct investment, Fiscal or financial incentives, CO2 taxes, Energy and other taxes, Policy support, Strategic planning",General,"The Budget (2021) brings a policy framework outlining carbon pricing, energy taxes and transport taxes as a way forward towards achievement of net zero targets.","Energy efficiency, Energy service demand reduction and resource efficiency, Renewables",In force,2021,,,Unknown,Mitigation,01/05/2021,2,2,4,3,2.7
19,Building Regulations (England and Wales),Building Regulations (England and Wales) United Kingdom (2010),Subnational region,Building codes and standards,"Buildings, Construction",,Energy efficiency,In force,2010,,,Unknown,Mitigation,,5,2.5,3,4,3.55
20,Building Regulations (Northern Ireland),Building Regulations (Northern Ireland) United Kingdom (2010),Subnational region,Building codes and standards,"Buildings, Construction",,Energy efficiency,In force,2010,,,Unknown,Mitigation,,2.5,5,4,5,4.3
21,Bus Back Better: national bus strategy,Bus Back Better: national bus strategy United Kingdom (2021),Country,"Policy support, Strategic planning",Transport,"This strategy aims at improving public bus transportation systems, making more reliable, sustainable, cheaper and more frequent across the country, with the objective of decreasing private vehicle use, congestion and air pollution.
The strategy further aims for the delivery of 4,000 new electric or hydrogen buses, and end sales of new diesel buses.",Energy service demand reduction and resource efficiency,In force,2021,,,High,Mitigation,08/04/2022,3,4,5,5,4.3
22,Carbon Abatement Technology Strategy,Carbon Abatement Technology Strategy United Kingdom (2005),Country,"Demonstration project, Research & Development and Deployment (RD&D), Policy support, Infrastructure investments, RD&D funding","Electricity and heat, CCS",,Other low-carbon technologies and fuel switch,Ended,2005,,,Unknown,Mitigation,,4,2.5,5,1,2.85
23,Carbon Budget Delivery Plan,Carbon Budget Delivery Plan United Kingdom (2023),Country,"Policy support, Strategic planning",General,"The Carbon Budget Delivery Plan fulfills statutory obligations under the Climate Change Act 2008, detailing proposals and policies to meet Carbon Budgets 4-6. It addresses associated risks and timescales, crucial for transitioning to a low-carbon economy.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",In force,2023,,2037,,Mitigation,23/02/2024,2.5,3,2,5,3.3
24,Carbon Budget Order,Carbon Budget Order United Kingdom (2016),Country,"Strategic planning, Formal & legally binding energy efficiency target",General,"The Carbon Budget Order 2016 sets the carbon budget for the 2028-2032 budgetary period as 1,725,000,000 tonnes of carbon dioxide equivalent (including emissions from international shipping). The budget limits annual emissions to an average 57 per cent below 1990 levels.
Carbon budgets set a cap on the maximum level of the net UK carbon account for each five-year budgetary period. The net UK carbon account is defined in section 27 of the Climate Change Act 2008.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",In force,2016,,2032,Unknown,Mitigation,,3,2.5,2,3,2.65
25,Carbon Emissions Reduction Target (Energy Efficiency Commitment 3),Carbon Emissions Reduction Target (Energy Efficiency Commitment 3) United Kingdom (2008),Country,"Other mandatory requirements, Obligation schemes","Electricity and heat, Buildings",,Energy efficiency,Ended,2008,,2012,Unknown,Mitigation,,4,3,3,4,3.5
26,Carbon Plan,Carbon Plan United Kingdom (2011),Country,"Climate strategy, Political & non-binding climate strategy, Strategic planning",General,Executive,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,2011,,,Unknown,Mitigation,,2.5,2,4,5,3.4
27,Carbon Price Floor,Carbon Price Floor United Kingdom (2013),Country,CO2 taxes,Electricity and heat,"The Carbon Price Floor (CPF) is a UK Government policy implemented to support the EU Emissions Trading System (EU ETS). The CPF taxes fossil fuels used to generate electricity via Carbon Price Support rates set under the Climate Change Levy. The price floor consists of two components which are paid for by energy generators in two different ways: (i) The EU ETS allowance price; and (ii) the Carbon Support Price (CPS), which tops up the EU ETS allowance prices, as projected by the Government, to the carbon floor price target.
At Budget 2014 the Government announced that the CPS component of the floor price would be capped at a maximum of £18/tCO2 from 2016 to 2020 to limit the competitive disadvantage faced by business and reduce energy bills for consumers. This price freeze was extended to 2021 in Budget 2016.","Energy efficiency, Other low-carbon technologies and fuel switch",In force,2013,,,High,Mitigation,,5,4,2,1,2.9
28,Carbon Reduction Commitment Energy efficiency Scheme,Carbon Reduction Commitment Energy efficiency Scheme United Kingdom (2010),Country,"GHG emissions allowances, Monitoring, Other mandatory requirements","Industry, Industrial energy related","Legislative IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2010,,,High,"Mitigation, Energy security",,2,3,4,4,3.3
29,CCUS Investor Roadmap,CCUS Investor Roadmap United Kingdom (2022),Country,"Policy support, Strategic planning",Industry,This strategy formulates the UK's plans to develop its CCU industry and attract investors. It aims to capture 20-30 MtCO2e per year by 2030.,Energy service demand reduction and resource efficiency,In force,2022,,,,Mitigation,30/01/2023,2.5,4,2,4,3.3
30,CCUS Net Zero Investment Roadmap: Capturing carbon and a global opportunity 2023,CCUS Net Zero Investment Roadmap: Capturing carbon and a global opportunity 2023 United Kingdom (2023),Country,"Economic instruments, Direct investment, Infrastructure investments, Policy support, Strategic planning",Industry,"The CCUS Net Zero Investment Roadmap outlines the UK's strategy to develop carbon capture, usage, and storage capacity. It aims to establish two CCUS clusters by the mid-2020s and an additional two by 2030, capturing 20-30 MtCO2 per year, thus contributing significantly to decarbonization efforts.","Energy service demand reduction and resource efficiency, Non-energy use",In force,2023,,2030,,Mitigation,23/02/2024,2.5,2,4,3,2.8
31,Central Government Estate Targets,Central Government Estate Targets United Kingdom (2010),Country,"Target, Voluntary approaches",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,2010,,,Unknown,Mitigation,,2,5,2,5,3.8
32,Charging Infrastructure Support,Charging Infrastructure Support United Kingdom (2015),Country,Infrastructure investments,"Transport, Low-emissions mobility","The Government has pledged £32 million of infrastructure support to create a new network of electric vehicle chargepoints. Locations for further chargepoints include homes, hospitals, train stations and A-roads. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2015,,,Unknown,Mitigation,,2,5,4,3,3.6
33,Clear Skies - Household and Small Community Renewable Energy Fund,Clear Skies - Household and Small Community Renewable Energy Fund United Kingdom (2003),Country,"Grants and subsidies, Information provision","Electricity and heat, Renewables, Buildings, Heating and cooling, Hot water and cooking",,Renewables,Ended,2003,,2006,Unknown,Mitigation,,3,3,4,3,3.2
34,,,,,,,,,,,,,,,4,3,2,1,2.4
35,Climate Change Act,Climate Change Act United Kingdom (2008),Country,"Coordinating body for climate strategy, Formal & legally binding climate strategy, Policy support, Other mandatory requirements, Target, GHG reduction target, Formal & legally binding GHG reduction target",General,"The Act establishes a legally binding target of at least an 80% cut in GHG emissions by 2050, against a 1990 baseline. It also creates 5-yearly “carbon budgets” as a pathway to meet the long-term target. The fourth carbon budget, for 2023–2027 approved by parliament in 2011 and reviewed in 2014, puts into law a target to reduce emissions by 50% from 1990 levels by 2025 (the midpoint of the budget period).
The Committee on Climate Change (CCC) – a new independent, expert body to advise the government on the level of carbon budgets and on progress in meeting these budgets.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",In force,2008,,2027,Unknown,Mitigation,,4,4,5,5,4.5
36,Climate Change Act,Climate Change Act United Kingdom (2019),Subnational region,"Strategic planning, GHG reduction target",General,"The Climate Change (Emissions Reduction Targets) (Scotland) Act 2019, which amends the Climate Change (Scotland) Act 2009, sets targets to reduce Scotland's emissions of all greenhouse gases to net-zero by 2045 at the latest, with interim targets for reductions of at least 56% by 2020, 75% by 2030, 90% by 2040.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",In force,2019,,2040,High,Mitigation,,2,3,2,4,2.9
37,Climate Change Agreements,Climate Change Agreements United Kingdom (2001),Country,"Tax relief, Voluntary approaches, Negotiated agreements (public-private sector)",Industry,Climate Change Agreements (CCAs) are voluntary agreements allowing industry users to receive a discount from the Climate Change Levy of up to 90% (100% only for metallurgical and mining) if they meet energy efficient or carbons savings targets. The 2020 amendment extended the CCA up to 2025.,"Energy efficiency, Energy service demand reduction and resource efficiency",In force,2001,,2025,Unknown,Mitigation,,2.5,2.5,2,5,3.15
38,Climate Change and Sustainable Energy Act,Climate Change and Sustainable Energy Act United Kingdom (2006),Country,"Green certificates, Other mandatory requirements","Buildings, Electricity and heat",Legislative,"Energy efficiency, Renewables",In force,2006,,,Unknown,Mitigation,,2.5,2.5,4,1,2.35
39,Climate Change Communications Initiative,Climate Change Communications Initiative United Kingdom (2005),Country,Information provision,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",Ended,2005,,2008,Unknown,Mitigation,,3,2,2,1,1.9
40,Climate Change Levy,Climate Change Levy United Kingdom (2001),Country,"Energy and other taxes, Tax relief","Electricity and heat, Gas, Oil, Renewables",Legislative,"Energy efficiency, Renewables",In force,2001,,,High,Mitigation,,2,4,5,5,4.1
41,Climate Change Programme,Climate Change Programme United Kingdom (2006),Country,"Advice or aid in implementation, Information provision, Strategic planning, Building codes and standards","Buildings, General, Industry, Construction",Executive,Energy efficiency,In force,2006,,,Unknown,Mitigation,,4,5,2,5,4.2
42,Climate Change Projects Office,Climate Change Projects Office United Kingdom (2001),Country,"GHG emission reduction crediting and offsetting mechanism, Information provision, Policy support",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Other low-carbon technologies and fuel switch, Renewables, Non-energy use",In force,2001,,,Unknown,Mitigation,,3,5,4,2,3.5
43,Climate Resilient Infrastructure: Preparing for a Changing Climate,Climate Resilient Infrastructure: Preparing for a Changing Climate United Kingdom (2011),Country,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Non-energy use, Other low-carbon technologies and fuel switch",In force,2011,,,Unknown,Mitigation,,2,5,5,4,4.1
44,CO2 emission performance standards for new passenger cars and light commercial vehicles,CO2 emission performance standards for new passenger cars and light commercial vehicles United Kingdom (2019),Country,"Regulatory Instruments, Codes and standards, Vehicle fuel-economy and emissions standards","Transport, Light-duty vehicles","This policy seeks to align vehicle emissions standards from the UK with those of the EU. It stipulates a limit of 95g CO2/km for new passenger vehicles and 147g CO2/km for vans from 2020, as well as a 15% emissions reduction below a 2021 baseline for both cars and vans, and from 2030, this will increase to a 37.5% reduction below the 2021 baseline.",Energy service demand reduction and resource efficiency,In force,2019,,,High,Mitigation,01/01/2022,5,2.5,4,1,2.85
45,CO2 Emission-Based Vehicle Tax Fates,CO2 Emission-Based Vehicle Tax Fates United Kingdom (2017),Country,Energy and other taxes,"Transport, Light-duty vehicles","The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay. Vehicle tax for the first year is based on CO2 emissions. After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are: £140 a year for petrol or diesel vehicles; £130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG); £0 a year for vehicles with zero CO2 emissions. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,3,5,2,5,4
46,Code for Sustainable Homes,Code for Sustainable Homes United Kingdom (2006),Country,"Performance label, Comparison label, Endorsement label, Other mandatory requirements",Buildings,Executive,Energy efficiency,In force,2006,,,Unknown,"Mitigation, Energy security, Energy access",,2,2.5,4,2,2.55
47,Combined Heat and Power Strategy to 2010,Combined Heat and Power Strategy to 2010 United Kingdom (2004),Country,"Negotiated agreements (public-private sector), Tax relief",Electricity and heat,,Energy efficiency,Ended,2004,,,Unknown,Mitigation,,2.5,2,3,2,2.3
48,Community Energy Programme,Community Energy Programme United Kingdom (2001),Country,"Information provision, Information and education, Grants and subsidies","Buildings, Heating and cooling",,"Energy efficiency, Other low-carbon technologies and fuel switch",Ended,2001,,,Unknown,Mitigation,,2.5,3,5,3,3.3
49,,,,,,,,,,,,,,,3,3,2,2,2.5
50,Company Car Tax Reform,Company Car Tax Reform United Kingdom (2002),Country,Energy and other taxes,"Transport, Heavy-duty vehicles, Light-duty vehicles",Legislative,Energy efficiency,In force,2002,,,Unknown,Mitigation,,2,3,2,2,2.3
51,Company Tax Benefits for Electric Vehicles,Company Tax Benefits for Electric Vehicles United Kingdom (2017),Country,Tax relief,"Transport, Low-emissions mobility","The Government announced that company car drivers choosing a pure electric vehicle will pay no benefit-in-kind (BIK) tax in 2020/21. In its response to its review of WLTP and vehicle taxes, HM Treasury has binned the previously published BIK rates for 2020/21. The Government added that existing vehicle excise duty (VED) rates – also not part of this review – will stay the same from April 6, 2020, despite the introduction of WLTP values for tax purposes from this date. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,2.5,3,5,1,2.7
52,Company Tax Benefits GBR - Transport Infrastructure,Company Tax Benefits GBR - Transport Infrastructure United Kingdom (2017),Country,Tax relief,"Transport, Low-emissions mobility","Tax benefits for businesses installing charging infrastructure through a 100% first year allowance (FYA) for expenditure incurred on electric vehicle chargepoint equipment. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2017,,,Unknown,Mitigation,,4,4,3,2,3.2
53,Contract for Difference (CfD),Contract for Difference (CfD) United Kingdom (2014),Country,Feed-in tariffs or premiums,"Electricity and heat, Renewables",,Renewables,In force,2014,,,Unknown,Mitigation,,2.5,4,3,1,2.6
54,Decent Homes,Decent Homes United Kingdom (2001),Country,"Funds to sub-national governments, Codes and standards, Other mandatory requirements","Buildings, Heating and cooling",,Energy efficiency,In force,2001,,,Unknown,Mitigation,,5,4,3,3,3.7
55,Directive on the Promotion of Energy Produced from Renewable Energy Sources,Directive on the Promotion of Energy Produced from Renewable Energy Sources European Union United Kingdom (2009),Country,"Green certificates, Product standards, Other mandatory requirements, Target, Renewable energy target, Formal & legally binding renewable energy target","Electricity and heat, Buildings, Industry, Transport, Renewables","10% of energy used in transport by 2020.
20% of energy use from renewables.",Renewables,Ended,2009,,2020,Unknown,Mitigation,,5,4,3,1,3.1
56,Domestic Photovoltaic (PV) System Field Trial,Domestic Photovoltaic (PV) System Field Trial United Kingdom (2001),Country,Demonstration project,Electricity and heat,,Renewables,Ended,2001,,2006,Unknown,Mitigation,,2.5,2,5,1,2.4
57,Electric Vehicle Homecharge Scheme,Electric Vehicle Homecharge Scheme United Kingdom (2019),Country,Grants and subsidies,"Transport, Low-emissions mobility","Describes who is eligible to apply for the Electric Vehicle Homecharge Scheme and how to access it. This scheme is only available for chargepoints installed from January 2019. It replaces the previous version of the Electric Vehicle Homecharge Scheme and has been revised to include vehicles eligible under the Plug-in Taxi Grant. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2019,,,Unknown,Mitigation,,2,5,2,5,3.8
58,Electric Vehicle Homecharge Scheme (EVHS) and Workplace Charging Scheme (WCS) Chargepoint Authorisation,Electric Vehicle Homecharge Scheme (EVHS) and Workplace Charging Scheme (WCS) Chargepoint Authorisation United Kingdom (2016),Country,Grants and subsidies,"Transport, Low-emissions mobility","The Electric Vehicle Homecharge Scheme (EVHS) provides grant funding of up to 75% towards the cost of installing electric vehicle chargepoints at domestic properties across the UK. From 1st July 2019, the EVHS will only support smart chargepoints as announced in December 2018. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Other low-carbon technologies and fuel switch,In force,2016,,,Unknown,Mitigation,,2,2.5,3,1,2.05
59,Electricity Market Reform (EMR),Electricity Market Reform (EMR) United Kingdom (2013),Country,"CO2 taxes, Regulatory Instruments","Electricity and heat, Renewables",,Renewables,In force,2013,,,Unknown,Mitigation,,5,2.5,2,4,3.35
60,,,,,,,,,,,,,,,4,2.5,2,2,2.55
61,,,,,,,,,,,,,,,2,3,2,4,2.9
62,Energy Act,Energy Act United Kingdom (2008),Country,Feed-in tariffs or premiums,"Electricity and heat, Renewables",Legislative,Renewables,In force,2008,,,Unknown,Mitigation,,2,5,2,5,3.8
63,Energy Act,Energy Act United Kingdom (2010),Country,Fiscal or financial incentives,"Electricity and heat, CCS",Legislative,Other low-carbon technologies and fuel switch,In force,2010,,,Unknown,Mitigation,,2.5,4,2,4,3.3
64,Energy Act,Energy Act United Kingdom (2016),Country,"Direct investment, Infrastructure investments, Fiscal or financial incentives, Policy support, Institutional creation, Regulatory Instruments","Electricity and heat, Gas, Oil, Renewables","The Energy act (2016) supersedes the previous versions. It makes provision and establishes the Oil and Gas Authority and its functions. Also, the act regulates the onshore wind power. 
 ","Other low-carbon technologies and fuel switch, Renewables",In force,2016,2021,,Unknown,"Energy security, Mitigation",01/05/2021,4,2,2,5,3.3
65,Energy Act,Energy Act United Kingdom (2004),Country,"Strategic planning, Regulatory Instruments","Electricity and heat, Renewables",Legislative,Renewables,In force,2004,,,Unknown,Mitigation,,2,2.5,2,1,1.85
66,,,,,,,,,,,,,,,2.5,4,4,2,3.1
67,Energy Assistance Scheme,Energy Assistance Scheme United Kingdom (2001),Country,Grants and subsidies,"Buildings, Heating and cooling, Hot water and cooking",,Energy efficiency,In force,2001,,,Unknown,Mitigation,,2,4,5,1,2.9
68,Energy Company Obligation,Energy Company Obligation United Kingdom (1994),Country,"White certificates, Obligation schemes",Buildings,"In 1994, the United Kingdom introduced energy efficiency obligations with the goal of achieving energy savings. The latest iteration of the oligation is the Energy Company Obligation which began in April 2013, and over time it has been amended. The latest phase, ECO3, commenced on 3 December 2018, and applies to measures completed from 1 October 2018. EC03 wfocuses on one obligation, the Home Heating Cost Reduction Obligation (HHCRO). Under HHCRO, obligated suppliers must mainly promote measures which improve the ability of low income, fuel poor and vulnerable households to heat their homes. This includes actions that result in heating savings, such as the replacement of a broken heating system or the upgrade of an inefficient heating system. Under ECO2, which ran from 1 April 2017 to 30 September 2018, suppliers were also required to deliver against an additional obligation called the Carbon Emissions Reduction Obligation (CERO). IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,1994,,,Unknown,Mitigation,,4,2,3,5,3.5
69,Energy Crops Scheme - England,Energy Crops Scheme - England United Kingdom (2000),Country,Grants and subsidies,"Electricity and heat, Transport",,Renewables,In force,2000,,,Unknown,Mitigation,,2.5,5,2,2,3
70,,,,,,,,,,,,,,,3,4,2,2,2.8
71,Energy Efficiency Commitment (2002-2005),Energy Efficiency Commitment (2002-2005) United Kingdom (2001),Country,"Other mandatory requirements, Obligation schemes",Electricity and heat,,Energy efficiency,Ended,2001,,2005,Unknown,Mitigation,,4,3,2,1,2.4
72,Energy Efficiency Loans for Small or Medium sized Enterprises (SMEs),Energy Efficiency Loans for Small or Medium sized Enterprises (SMEs) United Kingdom (2007),Country,Loans,Industry,,Energy efficiency,Ended,2007,,,Unknown,Mitigation,,2,2,2,1,1.7
73,,,,,,,,,,,,,,,3,2,2,3,2.5
74,Energy Performance Certificates,Energy Performance Certificates United Kingdom (2005),Country,Comparison label,Buildings,"The Ministry for Housing, Communities and Local Government (DCLG) is responsible for making sure buildings in the UK meet the standards required by the EU Energy Performance of Buildings Directive. The Directive requires that all properties (homes, commercial and public buildings) must have an Energy Performance Certificate (EPC) when sold, built or rented; larger public buildings over 500m must display a Display Energy Certificate (DEC); all air-conditioning systems over 12 kW must be regularly inspected by an Energy Assessor. EPCs are produced by accredited energy assessors using standard methods and assumptions about energy usage. This means that the energy efficiency of one building can easily be compared with another building of the same type. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2005,,,Unknown,Mitigation,,5,5,2,4,4.1
75,,,,,,,,,,,,,,,3,2.5,2,4,2.95
76,Energy Saving Opportunities Scheme (ESOS),Energy Saving Opportunities Scheme (ESOS) United Kingdom (2014),Country,Auditing,"Buildings, Industry, Transport","The Government established ESOS to implement Article 8 (4 to 6) of the EU Energy Efficiency Directive (2012/27/EU). The ESOS Regulations 2014 give effect to the scheme. ESOS is a mandatory energy assessment scheme for organisations in the UK that meet the qualification criteria. The Environment Agency is the UK scheme administrator. Organisations that qualify for ESOS must carry out ESOS assessments every 4 years. These assessments are audits of the energy used by their buildings, industrial processes and transport to identify cost-effective energy saving measures. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,In force,2014,,,Unknown,Mitigation,,5,2.5,5,3,3.65
